RMP Link,Real Name,RMP Name,Match Status
https://www.ratemyprofessors.com/professor/2375218,Ilker Hacihaliloglu,Ilker Hacihaliloglu,good
https://www.ratemyprofessors.com/professor/749843,George Shoane,George Shoane,good
https://www.ratemyprofessors.com/professor/2458335,Biju Parekkadan,Biju Parekkadan,good
https://www.ratemyprofessors.com/professor/2417730,Kristen Labazzo,Kristen Labazzo,good
https://www.ratemyprofessors.com/professor/2001111,Mark Pierce,Mark Pierce,good
https://www.ratemyprofessors.com/professor/1353008,Francois Berthiaume,Francois Berthiaume,good
https://www.ratemyprofessors.com/professor/309631,David Shreiber,David Shreiber,good
https://www.ratemyprofessors.com/professor/1275085,Gary Drzewiecki,Gary Drzewiecki,good
https://www.ratemyprofessors.com/professor/2375239,Jay Sy,Jay Sy,good
https://www.ratemyprofessors.com/professor/2686510,John Li,John McGarvey,bad
https://www.ratemyprofessors.com/professor/219886,William Craelius,William Bottega,bad
https://www.ratemyprofessors.com/professor/874785,Noshir Langrana,Noshir Langrana,good
https://www.ratemyprofessors.com/professor/841515,Li Cai,LI Cai,bad
https://www.ratemyprofessors.com/professor/2387479,Adam Gormley,Adam Gormley,good
https://www.ratemyprofessors.com/professor/949826,Jeffrey Zahn,Jeffrey Zahn,good
https://www.ratemyprofessors.com/professor/1056751,Helen Buettner,Helen Buettner,good
https://www.ratemyprofessors.com/professor/2408186,Karen Murray,Karen Schindler,bad
https://www.ratemyprofessors.com/professor/1082417,Maria Tomassone,Maria Silvina Tomassone,bad
https://www.ratemyprofessors.com/professor/836538,Ioannis Androulakis,Yannis Androulakis,bad
https://www.ratemyprofessors.com/professor/936256,Yee Chiew,Yee Chiew,good
https://www.ratemyprofessors.com/professor/588202,Benjamin Schuster,Benjamin Glasser,bad
https://www.ratemyprofessors.com/professor/123668,Haoran Zhang,Yanyong Zhang,bad
https://www.ratemyprofessors.com/professor/2286084,Alex Bertuccio,Alex Bertuccio,good
https://www.ratemyprofessors.com/professor/1963361,Rohit Ramachandran,Rohit Ramachandran,good
https://www.ratemyprofessors.com/professor/1876590,Fuat Celik,Fuat Celik,good
https://www.ratemyprofessors.com/professor/280494,Hani Nassif,Hanni Nassif,bad
https://www.ratemyprofessors.com/professor/2831122,Alfred Brenner,Al Brenner,bad
https://www.ratemyprofessors.com/professor/816001,Yook-Kong Yong,Yook-Kong Yong,good
https://www.ratemyprofessors.com/professor/951373,Monica Mazurek,Monica Mazurek,good
https://www.ratemyprofessors.com/professor/1902665,Nicole Fahrenfeld,Nicole Fahrenfeld,good
https://www.ratemyprofessors.com/professor/2584313,Jie Gong,Jie Gao,bad
https://www.ratemyprofessors.com/professor/3058081,Mohamed Arafa,Mohamed Bahri,bad
https://www.ratemyprofessors.com/professor/2228137,Franklin Moon,Franklin Moon,good
https://www.ratemyprofessors.com/professor/2217093,Robert Miskewitz,Robert Miskewitz,good
https://www.ratemyprofessors.com/professor/1584183,Jin Jing,Bocheng Jin,bad
https://www.ratemyprofessors.com/professor/2254249,Ali Maher,Ali Ghofrani,bad
https://www.ratemyprofessors.com/professor/1882932,Hana Godrich,Hana Godrich,good
https://www.ratemyprofessors.com/professor/115807,Richard Mammone,Richard Mammone,good
https://www.ratemyprofessors.com/professor/347940,Michael Caggiano,Michael Caggiano,good
https://www.ratemyprofessors.com/professor/1828988,Athina Petropulu,Athina Petropulu,good
https://www.ratemyprofessors.com/professor/347941,Grigore Burdea,Grigore Burdea,good
https://www.ratemyprofessors.com/professor/346949,Sophocles Orfanidis,Sophocles Orfanidis,good
https://www.ratemyprofessors.com/professor/2187738,Anand Sarwate,Anand Sarwate,good
https://www.ratemyprofessors.com/professor/2091220,Mehdi Javanmard,Mehdi Javanmard,good
https://www.ratemyprofessors.com/professor/1743941,Sehajpal Sumati,Sumati Sehajpal,bad
https://www.ratemyprofessors.com/professor/2686510,McGarvey John,John McGarvey,bad
https://www.ratemyprofessors.com/professor/347939,Zoran Gajic,Zoran Gajic,good
https://www.ratemyprofessors.com/professor/1560601,Dario Pompili,Dario Pompili,good
https://www.ratemyprofessors.com/professor/444666,Wade Trappe,Wade Trappe,good
https://www.ratemyprofessors.com/professor/1338839,Yingying Chen,Yuan-Ping Chen,bad
https://www.ratemyprofessors.com/professor/2495722,Umer Hassan,UMER HASSAN,bad
https://www.ratemyprofessors.com/professor/236267,Predrag Spasojevic,Predrag Spasojevic,good
https://www.ratemyprofessors.com/professor/1721558,Waheed Uz Zaman Bajwa,Waheed Bajwa,bad
https://www.ratemyprofessors.com/professor/2177263,Striki Maria,Maria Striki,bad
https://www.ratemyprofessors.com/professor/490872,Ivan Marsic,Ivan Marsic,good
https://www.ratemyprofessors.com/professor/1897571,Laleh Najafizadeh,Laleh Najafizadeh,good
https://www.ratemyprofessors.com/professor/487012,Kristin Dana,Kristin Dana,good
https://www.ratemyprofessors.com/professor/2402572,Bo Yuan,Bo Yuan,good
https://www.ratemyprofessors.com/professor/1809951,Wu Chung-Tse,Weida WU,bad
https://www.ratemyprofessors.com/professor/2225933,Emina Soljanin,Emina Soljanin,good
https://www.ratemyprofessors.com/professor/2581253,Jorge Ortiz,Jorge Ortiz,good
https://www.ratemyprofessors.com/professor/2450036,Phillip Southard,Phillip Southard,good
https://www.ratemyprofessors.com/professor/2217766,Philip Brown,Philip Brown,good
https://www.ratemyprofessors.com/professor/2106403,Jean Patrick Antoine,Jean Patrick Antoine,good
https://www.ratemyprofessors.com/professor/331172,Mitsunori Denda,Mitch Denda,bad
https://www.ratemyprofessors.com/professor/2182765,Annalisa Scacchioli,Annalisa Scacchioli,good
https://www.ratemyprofessors.com/professor/826873,Kimberly Cook Chennault,Kimberly Cook-Chennault,bad
https://www.ratemyprofessors.com/professor/219886,William Bottega,William Bottega,good
https://www.ratemyprofessors.com/professor/359268,Thomas Matlock,Thomas Tsakalakos,bad
https://www.ratemyprofessors.com/professor/2550156,Harold Bennett,Harold Bennett,good
https://www.ratemyprofessors.com/professor/2756579,Won-Jong Rhee,Won-Jong Rhee,good
https://www.ratemyprofessors.com/professor/2236469,Martin Golden,Travers Martin,bad
https://www.ratemyprofessors.com/professor/2520645,Patricia Santos,Patricia Patricia McHugh,bad
https://www.ratemyprofessors.com/professor/2493753,Eric Rosenberg,Eric Rosenberg,good
https://www.ratemyprofessors.com/professor/2089972,Weihong Guo,Weihong Guo,good
https://www.ratemyprofessors.com/professor/2447836,Elin Wicks,Elin Wicks,good
https://www.ratemyprofessors.com/professor/2460052,Zhimin Xi,Zhimin Xi,good
https://www.ratemyprofessors.com/professor/907863,Mohsen Jafari,Mohsen Jafari,good
https://www.ratemyprofessors.com/professor/195685,Susan Albin,Susan Albin,good
https://www.ratemyprofessors.com/professor/195684,Tugrul Ozel,Tugrul Ozel,good
https://www.ratemyprofessors.com/professor/195686,E Elsayed,Elsayed A. Elsayed,bad
https://www.ratemyprofessors.com/professor/1747152,Laura Fabris,Laura Fabris,good
https://www.ratemyprofessors.com/professor/596187,Ahmad Safari,Ahmad Safari,good
https://www.ratemyprofessors.com/professor/115807,Richard Riman,Richard Mammone,bad
https://www.ratemyprofessors.com/professor/1096309,Lisa Klein,Lisa Klein,good
https://www.ratemyprofessors.com/professor/618616,Stephen Garofalini,Stephen Tse,bad
https://www.ratemyprofessors.com/professor/115807,Richard Lehman,Richard Mammone,bad
https://www.ratemyprofessors.com/professor/1921163,Ashutosh Goel,Ashutosh Goel,good
https://www.ratemyprofessors.com/professor/2217093,Robert Horvath,Robert Miskewitz,bad
https://www.ratemyprofessors.com/professor/1820295,Enver Akdogan,Koray Akdogan,bad
https://www.ratemyprofessors.com/professor/2686510,John Wenzel,John McGarvey,bad
https://www.ratemyprofessors.com/professor/1096340,Dunbar Birnie,Dunbar Birnie,good
https://www.ratemyprofessors.com/professor/359268,Thomas Tsakalakos,Thomas Tsakalakos,good
https://www.ratemyprofessors.com/professor/115807,Richard Haber,Richard Mammone,bad
https://www.ratemyprofessors.com/professor/2338985,Edward Demauro,Edward DeMauro,bad
https://www.ratemyprofessors.com/professor/594635,George Weng,George Weng,good
https://www.ratemyprofessors.com/professor/559607,Prosenjit Bagchi,Prosenjit Bagchi,good
https://www.ratemyprofessors.com/professor/1753952,Aaron Mazzeo,Aaron Mazzeo,good
https://www.ratemyprofessors.com/professor/2518479,Xi Gu,Xi Gu,good
https://www.ratemyprofessors.com/professor/886368,Hao Lin,Hao Lin,good
https://www.ratemyprofessors.com/professor/944802,Hae Gea,Hae Chang Gea,bad
https://www.ratemyprofessors.com/professor/986554,Jingang Yi,Jingang Yi,good
https://www.ratemyprofessors.com/professor/1753954,Qingze Zou,Qingze Zou,good
https://www.ratemyprofessors.com/professor/2089213,Jonathan Singer,Jonathan Singer,good
https://www.ratemyprofessors.com/professor/2727756,Laurent Burlion,Laurent Vera,bad
https://www.ratemyprofessors.com/professor/176799,Haim Baruh,Haim Baruh,good
https://www.ratemyprofessors.com/professor/176800,Haym Benaroya,Haym Benaroya,good
https://www.ratemyprofessors.com/professor/378166,Michael Muller,Mike Muller,bad
https://www.ratemyprofessors.com/professor/956555,Purusottam Mookerjee,Purusottam Mookerjee,good
https://www.ratemyprofessors.com/professor/2447059,Onur Bilgen,Onur Bilgen,good
https://www.ratemyprofessors.com/professor/890291,Zhixiong Guo,Zhixiong Guo,good
https://www.ratemyprofessors.com/professor/2539813,Yuebin Guo,Yuebin Guo,good
https://www.ratemyprofessors.com/professor/469980,Yogesh Jaluria,Yogesh Jaluria,good
https://www.ratemyprofessors.com/professor/649415,Doyle Knight,Doyle Knight,good
https://www.ratemyprofessors.com/professor/1903088,Howon Lee,Howon Lee,good
https://www.ratemyprofessors.com/professor/164225,Assimina Pelegri,Mina Pelegri,bad
https://www.ratemyprofessors.com/professor/618616,Stephen Tse,Stephen Tse,good
https://www.ratemyprofessors.com/professor/2435975,Todd Rossi,Todd Rossi,good
https://www.ratemyprofessors.com/professor/2681117,Valerie Tutwiler,Valerie Pheanis,bad
https://www.ratemyprofessors.com/professor/2732115,Dayna Helfgott,Dayna Weintraub,bad
https://www.ratemyprofessors.com/professor/2233213,Fernando Muzzio,Suchinthi Fernando,bad
https://www.ratemyprofessors.com/professor/2501232,Ruoqian Wang,Ruo-Qian Wang,bad
https://www.ratemyprofessors.com/professor/1000117,Perumalsamy Balaguru,Perumalsamy Balaguru,good
https://www.ratemyprofessors.com/professor/209725,Husam Najm,Husam Najm,good
https://www.ratemyprofessors.com/professor/986554,Jing Jin,Jingang Yi,bad
https://www.ratemyprofessors.com/professor/2686510,John Mcgarvey,John McGarvey,bad
https://www.ratemyprofessors.com/professor/2979494,Sheng Wei,Wei Sheng,bad
https://www.ratemyprofessors.com/professor/2402038,Salim El Rouayheb,Salim El Rouayheb,good
https://www.ratemyprofessors.com/professor/1968300,Saman Aliari Zonouz,Saman Zonouz,bad
https://www.ratemyprofessors.com/professor/547515,Yicheng Lu,Yicheng Lu,good
https://www.ratemyprofessors.com/professor/1743941,Sumati Sehajpal,Sumati Sehajpal,good
https://www.ratemyprofessors.com/professor/2581253,Ortiz Jorge,Jorge Ortiz,bad
https://www.ratemyprofessors.com/professor/2177263,Maria Striki,Maria Striki,good
https://www.ratemyprofessors.com/professor/2009659,Shantenu Jha,Shantenu Jha,good
https://www.ratemyprofessors.com/professor/1809951,Chung-Tse Wu,Weida WU,bad
https://www.ratemyprofessors.com/professor/826873,Kimberly Scott,Kimberly Cook-Chennault,bad
https://www.ratemyprofessors.com/professor/2217766,Brown Philip,Philip Brown,bad
https://www.ratemyprofessors.com/professor/2828929,Kathryn Higgins,Kathryn Narramore,bad
https://www.ratemyprofessors.com/professor/707861,Alberto Cuitino,Alberto Cuitino,good
https://www.ratemyprofessors.com/professor/3085220,Jennifer Lynch,Jennifer Lynch,good
https://www.ratemyprofessors.com/professor/123668,Yuqian Zhang,Yanyong Zhang,bad
https://www.ratemyprofessors.com/professor/1720978,Ahmed Aziz Ezzat Ahmed,Christian Aziz,bad
https://www.ratemyprofessors.com/professor/2599416,Hoang Pham,Hoang Pham,good
https://www.ratemyprofessors.com/professor/171859,Melike Gursoy,Melike Gursoy,good
https://www.ratemyprofessors.com/professor/2254249,Ali Ghofrani,Ali Ghofrani,good
https://www.ratemyprofessors.com/professor/2375238,Adrian Mann,Adrian Mann,good
https://www.ratemyprofessors.com/professor/533076,Andrew Norris,Andrew Norris,good
https://www.ratemyprofessors.com/professor/788084,Jerry Shan,Jerry Shan,good
https://www.ratemyprofessors.com/professor/1753955,German Drazer,German Drazer,good
https://www.ratemyprofessors.com/professor/2478594,Rajiv Malhotra,Rajiv Malhotra,good
https://www.ratemyprofessors.com/professor/2265034,Xiaoli Bai,Anastasia Bailey,bad
https://www.ratemyprofessors.com/professor/896388,Francisco Diez Garias,Francisco Diez-Garias,bad
https://www.ratemyprofessors.com/professor/2681117,Valerie Mayer,Valerie Pheanis,bad
https://www.ratemyprofessors.com/professor/2496201,Maribel Vazquez,Maribel Plasencia,bad
https://www.ratemyprofessors.com/professor/1756027,Jason Robbins,Jason Lewis,bad
https://www.ratemyprofessors.com/professor/2878305,Gregory Dignon,Gregory Dignon,good
https://www.ratemyprofessors.com/professor/2663937,Meiyin Liu,Meiyin Liu,good
https://www.ratemyprofessors.com/professor/2663937,Xiang Liu,Meiyin Liu,bad
https://www.ratemyprofessors.com/professor/2827022,Sasan Haghani,Sasan Haghani,good
https://www.ratemyprofessors.com/professor/2663937,Yao Liu,Meiyin Liu,bad
https://www.ratemyprofessors.com/professor/1777819,Daniel Burbano Lombana,Dan Grek,bad
https://www.ratemyprofessors.com/professor/1721558,Waheed U. Bajwa,Waheed Bajwa,bad
https://www.ratemyprofessors.com/professor/2050664,Russell Pepe,Kimberly Russell,bad
https://www.ratemyprofessors.com/professor/1622686,Luis Garrido,Luis Leyva,bad
https://www.ratemyprofessors.com/professor/2877307,Randall Reagan,Randy Reagan,bad
https://www.ratemyprofessors.com/professor/1720978,Aziz Ezzat Ahmed,Christian Aziz,bad
https://www.ratemyprofessors.com/professor/1052479,Steven Mercurio,Steve Medlar,bad
https://www.ratemyprofessors.com/professor/2686510,John Matthewson,John McGarvey,bad
https://www.ratemyprofessors.com/professor/2582644,Ryan Sills,Lindy Ryan,bad
https://www.ratemyprofessors.com/professor/2001111,Mark Gurvich,Mark Pierce,bad
https://www.ratemyprofessors.com/professor/2271345,Kelly Kyker-Snowman,Kelly Spendlove,bad
https://www.ratemyprofessors.com/professor/2371515,Shishir Chundawat,Shishir Chundawat,good
https://www.ratemyprofessors.com/professor/890291,Ashley Guo,Zhixiong Guo,bad
https://www.ratemyprofessors.com/professor/2054471,Nina Shapley,Nina Shapley,good
https://www.ratemyprofessors.com/professor/484494,Adi Salman Abu-Obeidah,Adi Ben-Israel,bad
https://www.ratemyprofessors.com/professor/2979492,Omer Lateef,Omar Lateef,bad
https://www.ratemyprofessors.com/professor/2960158,Dov Kruger,Dov Kruger,good
https://www.ratemyprofessors.com/professor/2663937,Hang Liu,Meiyin Liu,bad
https://www.ratemyprofessors.com/professor/755302,Zhao Zhang,Jian Zhao,bad
https://www.ratemyprofessors.com/professor/2656317,Taerin Chung,Jae Chung,bad
https://www.ratemyprofessors.com/professor/120898,Caroline Guirguis,Caroline Clauss-Ehlers,bad
https://www.ratemyprofessors.com/professor/3072475,Jesse Hubler,Jesse Rodenbiker,bad
https://www.ratemyprofessors.com/professor/2877307,Randy Reagan,Randy Reagan,good
https://www.ratemyprofessors.com/professor/2893270,Amin Reihani,Amin Reihani,good
https://www.ratemyprofessors.com/professor/1884626,Troy Shinbrot,Troy Shinbrot,good
https://www.ratemyprofessors.com/professor/2834266,Charles Roth,Charles Senteio,bad
https://www.ratemyprofessors.com/professor/1589400,Jason Maikos,Jason Mireles-James,bad
https://www.ratemyprofessors.com/professor/466015,Nada Boustany,Nada Boustany,good
https://www.ratemyprofessors.com/professor/2375235,Joseph Freeman,Joseph Freeman,good
https://www.ratemyprofessors.com/professor/822861,Masanori Hara,Masanori Hara,good
https://www.ratemyprofessors.com/professor/1995831,Alexander Neimark,Alexander Dawson,bad
https://www.ratemyprofessors.com/professor/1777815,Hao Wang,Hao Wang,good
https://www.ratemyprofessors.com/professor/224273,Nenad Gucunski,Nenad Gucunski,good
https://www.ratemyprofessors.com/professor/579239,Chris Christoforou,Chris Obropta,bad
https://www.ratemyprofessors.com/professor/25212,Qizhong Guo,Qizhong Guo,good
https://www.ratemyprofessors.com/professor/2375235,Joseph Lifrieri,Joseph Freeman,bad
https://www.ratemyprofessors.com/professor/437519,Howard Kliger,Howard Kliger,good
https://www.ratemyprofessors.com/professor/1809951,Tong Wu,Weida WU,bad
https://www.ratemyprofessors.com/professor/647366,Narayan Mandayam,Narayan Mandayam,good
https://www.ratemyprofessors.com/professor/115807,Richard Frenkiel,Richard Mammone,bad
https://www.ratemyprofessors.com/professor/3070696,Tayyaba Mohammad,Mohammad Jabbari,bad
https://www.ratemyprofessors.com/professor/187092,Milton Diaz-Munoz,Milton Heumann,bad
https://www.ratemyprofessors.com/professor/2528378,Anna Beskin,Anna Hausmann,bad
https://www.ratemyprofessors.com/professor/2366374,Mustafa Mozael,Mustafa Jaffry,bad
https://www.ratemyprofessors.com/professor/148432,Michael Pinchiaroli,Michael Bushnell,bad
https://www.ratemyprofessors.com/professor/2882803,Myong-Kee Jeong,Myong Jeong,bad
https://www.ratemyprofessors.com/professor/2253578,Douglas Gilbert,Douglas Brownstone,bad
https://www.ratemyprofessors.com/professor/1820295,Enver Koray Akdogan,Koray Akdogan,bad
https://www.ratemyprofessors.com/professor/844129,Michael Matthewson,Michael Matthewson,good
https://www.ratemyprofessors.com/professor/1970211,Jeevanjot Singh,Jeevanjot Singh,good
https://www.ratemyprofessors.com/professor/1673503,Efthymios Nikolopoulos,Angelo Nikolopoulos,bad
https://www.ratemyprofessors.com/professor/1824600,Guosong Yang,Zhang Yang,bad
https://www.ratemyprofessors.com/professor/2663937,Xufei Liu,Meiyin Liu,bad
https://www.ratemyprofessors.com/professor/2338985,Edward DeMauro,Edward DeMauro,good
https://www.ratemyprofessors.com/professor/2457099,Diane Hildebrandt,Diane Litterer,bad
https://www.ratemyprofessors.com/professor/2822588,Tyler Oathes,Tyler Volpe,bad
https://www.ratemyprofessors.com/professor/2663937,Yalin Li,Meiyin Liu,bad
https://www.ratemyprofessors.com/professor/1869958,Katie Barillas,Katie Thurman,bad
https://www.ratemyprofessors.com/professor/579239,Christopher Miller,Chris Obropta,bad
https://www.ratemyprofessors.com/professor/195686,Elsayed Elsayed,Elsayed A. Elsayed,bad
https://www.ratemyprofessors.com/professor/309631,David Coit,David Shreiber,bad
https://www.ratemyprofessors.com/professor/1052479,Steven Mercurio Jr,Steve Medlar,bad
https://www.ratemyprofessors.com/professor/3026984,Nikolaos Napoleon Vlassis,Nick Vlassis,bad
https://www.ratemyprofessors.com/professor/1052479,Steven Berg,Steve Medlar,bad
